transactionID,accountID,transactionAmount,transactionCurrencyCode,transactionDate,transactionTime,localHour,transactionDeviceId,transactionIPaddress
65020E58-781D-4FFC-BEF2-0FDF87BE671D,A985156981092344,1148.6,CAD,20130402,14450,20,NA,66.46
8EC10EBC-F4BB-4148-9073-4B2BA93C9B34,A985156981066925,150.31,USD,20130403,135015,8,NA,67.8
CD624353-E473-4EE0-8BDF-A818627AA1D1,A985156970845915,99.98,USD,20130403,161950,11,NA,96.57
C125DD40-6BE3-40E2-8604-5B9540751467,A1688853657886190,53.99,USD,20130403,175759,12,NA,74.68
FF74DFD9-5015-440B-97A1-BDAB4A95B272,A985156971082067,119.98,USD,20130403,181256,13,NA,184.34
EB09177A-B225-47E7-B177-E8610B3E618F,A1899946873142120,149.97,USD,20130403,183413,13,NA,142.197
F70513F4-FCD6-4FB3-9BDA-E1339E4DD86F,A1899946873142120,149.97,USD,20130403,190353,14,NA,24.94
2132335C-082B-4B7E-9B63-DA007878168D,A844428017843376,107.52,USD,20130403,201118,15,NA,72.248
F06A587E-F353-481B-9BBA-FFAC28C60777,A1899946873142120,149.97,USD,20130403,202521,15,NA,66.176
36F5A50E-CBF2-4D33-87C5-1F8F7736F562,A1829582580801010,59.99,USD,20130403,201737,15,NA,72.185
41C41A19-2063-47C1-BAFB-B1BF50578374,A844428029243587,148.74,USD,20130404,10214,19,NA,24.13
B0F016BB-D6B1-4812-91DD-41C1FE9C91BA,A1688853524321290,74.97,USD,20130405,2134,19,NA,72.76
4F5BE866-AC36-4BD4-8DE5-40B48B2AFD9F,A914800364713675,24.99,USD,20130406,15737,20,NA,68.202
E52016D2-8898-4D8F-94EE-9D3357692C21,A844428031214472,2199,ARS,20130406,125320,9,NA,190.18
833FA1C1-EC94-4F61-AE86-EAF339165BD2,A1688852068178080,109.99,USD,20130407,45825,20,NA,8.23
74E7FBFA-551A-4324-89BA-6CD22AA7B832,A914800996051170,215.64,USD,20130407,221531,17,NA,108.69
C5A162B3-E2A9-451F-8A02-FE6A939B43A4,A985156979906180,99.99,USD,20130407,222851,14,NA,68.118
DE2E99AB-BCA3-4E62-9774-17E62E4C50E0,A985156985071493,74.89,USD,20130408,151826,16,NA,216.2
ECADF883-D7AA-4373-99FB-358A35302900,A1688853652289450,1499,MXN,20130408,205927,14,NA,189.245
EC2B7C43-96E8-4BD7-AE1B-1E4F5B513D29,A306107899458824,279.99,USD,20130409,115452,8,NA,186.137
78CF721D-0FC0-4CE6-B458-D1DF03C16C16,A985156986195261,169,AUD,20130410,100738,20,NA,120.19
5B14DBAD-62C5-4144-B131-E1C358C623E7,A985156723649620,139.99,USD,20130411,20726,21,NA,71.99
BA22D839-F441-414B-8062-5BA7B6875708,A1759222192247110,145.59,USD,20130411,80626,3,NA,192.2
990FAC29-0BAC-4D26-A896-27E71BA5144A,A844428035915015,86.17,USD,20130412,40136,23,NA,207.172
B544758B-8F40-45DE-94EB-BC3B8B7B1401,A1899946895455190,19.99,USD,20130413,192116,14,NA,207.155
C4FDAA41-391E-4449-93C8-0C7E984921E8,A1759221221524030,119.99,EUR,20130414,105214,11,NA,88.161
3E6FEB4B-BCD3-4FFE-BBB3-1CB0BFA39C82,A914800340295166,79.99,USD,20130415,5644,18,NA,69.76
7F739A3C-DA4E-4B79-BF65-7D33BFD1BC39,A844428039942859,479,GBP,20130416,224538,22,NA,109.144
6D7890A5-DA17-43B5-AA06-79189795DEF8,A1688853613564590,62.39,USD,20130417,75625,2,NA,71.185
1570C1F3-15CF-473D-A630-24D1151F7D94,A1759222185240050,64.19,USD,20130417,83619,3,NA,24.152
EDE9E934-451A-491D-84E1-090D1A22D191,A1759222185351430,79.99,USD,20130417,125340,7,NA,75.11
C49AA590-F545-4A2A-B096-FA1626918587,A1759222185358430,86.74,USD,20130417,142335,9,NA,71.171
2ED99F79-890A-42CD-81C5-0813D241BD01,A844428040495230,75.58,USD,20130417,180303,13,NA,184.73
